JDay,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
127,0,0,0,0,1.432916667,24.75958333,68.47791667,120.5445833,169.0316667,214.7520833,240.9075,260.41125,260.4675,245.3129167,218.0866667,177.0954167,126.3966667,71.91458333,27.70125,2.442083333,0,0,0,0
128,0,0,0,0,1.589166667,23.96125,58.50041667,99.95125,142.4083333,185.4583333,227.1083333,248.2020833,242.1020833,221.1895833,200.2770833,161.1033333,113.2854167,69.60625,27.13916667,2.457916667,0,0,0,0
129,0,0,0,0,1.90375,27.14833333,65.13916667,113.4079167,164.93625,203.83,239.8166667,241.7775,260.7379167,234.5991667,200.8533333,156.0425,111.2129167,66.74,25.40583333,2.44875,0,0,0,0
130,0,0,0,0,2.115416667,28.5075,69.78666667,121.7583333,173.1208333,217.8441667,250.3391667,263.2366667,255.6983333,239.94125,206.7458333,165.3641667,118.1320833,69.29083333,28.08375,2.96125,0,0,0,0
131,0,0,0,0,2.403333333,28.39333333,68.73791667,122.5129167,174.265,212.7916667,231.3433333,242.4216667,233.87375,219.6204167,193.10875,160.96375,116.2191667,68.31875,28.435,3.314166667,0,0,0,0
132,0,0,0,0,2.92875,32.82208333,82.95583333,142.2870833,193.88875,241.045,255.7025,258.6345833,260.6820833,236.0925,203.4075,168.565,124.6704167,75.4775,32.6525,3.741666667,0,0,0,0
133,0,0,0,0,2.82125,31.35916667,70.7375,121.94875,175.39875,213.6929167,240.1691667,250.06,247.55125,226.4145833,200.6075,167.34375,120.0541667,74.19333333,32.03833333,3.893333333,0,0,0,0
134,0,0,0,0,3.146666667,32.81375,74.8075,128.25375,174.5666667,209.0720833,233.33375,250.3858333,246.39875,226.20125,200.9404167,167.08,119.5891667,72.71208333,31.18125,4.122083333,0,0,0,0
135,0,0,0,0,3.4575,32.18458333,75.35833333,128.9954167,180.6025,219.8133333,233.1770833,235.0283333,247.93375,234.5445833,216.9475,175.4941667,128.9333333,77.61208333,34.85625,4.57125,0,0,0,0
136,0,0,0,0,3.786666667,31.98833333,73.68875,125.00125,179.4975,221.5379167,249.0179167,255.41125,249.7483333,222.37375,193.7395833,157.1708333,117.4741667,72.6225,32.46125,4.76875,0,0,0,0
137,0,0,0,0,4.277083333,32.9675,74.29208333,123.1595833,170.1345833,205.0420833,232.0875,231.06875,226.5158333,193.6341667,175.6104167,146.6075,107.0441667,66.80083333,30.36458333,5.010833333,0,0,0,0
138,0,0,0,0,4.56625,34.83,79.05708333,130.3729167,183.88875,227.3645833,249.51625,261.8058333,252.1475,229.7466667,200.0245833,159.4825,116.0995833,71.70625,31.76166667,5.335416667,0,0,0,0
139,0,0,0,0,4.705416667,34.2375,81.1625,135.6404167,190.7204167,235.9558333,265.01375,271.1720833,259.0366667,241.5304167,218.745,175.94,128.0208333,80.15208333,37.25083333,6.13375,0,0,0,0
140,0,0,0,0,5.069166667,35.565,80.56625,131.6808333,179.0345833,219.1533333,234.4454167,256.01125,250.88875,228.0920833,202.77375,172.0875,129.6633333,78.3375,37.41416667,6.467916667,0,0,0,0
